ABID,ALBUM NAME,AID,PUBLISHER,NUMBER OF TRACKS,TOTAL DURATION,TRACK NUMBER,TRACK MBID
1,Ember,1, Hollywood Records,12,38.45,1,1
1,Ember,1, Hollywood Records,12,38.45,2,2
1,Ember,1, Hollywood Records,12,38.45,3,3
1,Ember,1, Hollywood Records,12,38.45,4,4
1,Ember,1, Hollywood Records,12,38.45,5,5
1,Ember,1, Hollywood Records,12,38.45,6,6
1,Ember,1, Hollywood Records,12,38.45,7,7
1,Ember,1, Hollywood Records,12,38.45,8,8
1,Ember,1, Hollywood Records,12,38.45,9,9
1,Ember,1, Hollywood Records,12,38.45,10,10
1,Ember,1, Hollywood Records,12,38.45,11,11
1,Ember,1, Hollywood Records,12,38.45,12,12
2,Dark Before Dawn,1, Hollywood Records,12,42.42,1,13
2,Dark Before Dawn,1, Hollywood Records,12,42.42,2,14
2,Dark Before Dawn,1, Hollywood Records,12,42.42,3,15
2,Dark Before Dawn,1, Hollywood Records,12,42.42,4,16
2,Dark Before Dawn,1, Hollywood Records,12,42.42,5,17
2,Dark Before Dawn,1, Hollywood Records,12,42.42,6,18
2,Dark Before Dawn,1, Hollywood Records,12,42.42,7,19
2,Dark Before Dawn,1, Hollywood Records,12,42.42,8,20
2,Dark Before Dawn,1, Hollywood Records,12,42.42,9,21
2,Dark Before Dawn,1, Hollywood Records,12,42.42,10,22
2,Dark Before Dawn,1, Hollywood Records,12,42.42,11,23
2,Dark Before Dawn,1, Hollywood Records,12,42.42,12,24
3,Dear Agony,1, Hollywood Records,11,41.55,1,25
3,Dear Agony,1, Hollywood Records,11,41.55,2,26
3,Dear Agony,1, Hollywood Records,11,41.55,3,27
3,Dear Agony,1, Hollywood Records,11,41.55,4,28
3,Dear Agony,1, Hollywood Records,11,41.55,5,29
3,Dear Agony,1, Hollywood Records,11,41.55,6,30
3,Dear Agony,1, Hollywood Records,11,41.55,7,31
3,Dear Agony,1, Hollywood Records,11,41.55,8,32
3,Dear Agony,1, Hollywood Records,11,41.55,9,33
3,Dear Agony,1, Hollywood Records,11,41.55,10,34
3,Dear Agony,1, Hollywood Records,11,41.55,11,35
4,Evolution,2,Reprise Records,10,43.14,1,36
4,Evolution,2,Reprise Records,10,43.14,2,37
4,Evolution,2,Reprise Records,10,43.14,3,38
4,Evolution,2,Reprise Records,10,43.14,4,39
4,Evolution,2,Reprise Records,10,43.14,5,40
4,Evolution,2,Reprise Records,10,43.14,6,41
4,Evolution,2,Reprise Records,10,43.14,7,42
4,Evolution,2,Reprise Records,10,43.14,8,43
4,Evolution,2,Reprise Records,10,43.14,9,44
4,Evolution,2,Reprise Records,10,43.14,10,45
5,Immortalized,2,Reprise Records,13,53.28,1,46
5,Immortalized,2,Reprise Records,13,53.28,2,47
5,Immortalized,2,Reprise Records,13,53.28,3,48
5,Immortalized,2,Reprise Records,13,53.28,4,49
5,Immortalized,2,Reprise Records,13,53.28,5,50
5,Immortalized,2,Reprise Records,13,53.28,6,51
5,Immortalized,2,Reprise Records,13,53.28,7,52
5,Immortalized,2,Reprise Records,13,53.28,8,53
5,Immortalized,2,Reprise Records,13,53.28,9,54
5,Immortalized,2,Reprise Records,13,53.28,10,55
5,Immortalized,2,Reprise Records,13,53.28,11,56
5,Immortalized,2,Reprise Records,13,53.28,12,57
5,Immortalized,2,Reprise Records,13,53.28,13,58
6,Asylum,2,Reprise Records,13,52.28,1,59
6,Asylum,2,Reprise Records,13,52.28,2,60
6,Asylum,2,Reprise Records,13,52.28,3,61
6,Asylum,2,Reprise Records,13,52.28,4,62
6,Asylum,2,Reprise Records,13,52.28,5,63
6,Asylum,2,Reprise Records,13,52.28,6,64
6,Asylum,2,Reprise Records,13,52.28,7,65
6,Asylum,2,Reprise Records,13,52.28,8,66
6,Asylum,2,Reprise Records,13,52.28,9,67
6,Asylum,2,Reprise Records,13,52.28,10,68
6,Asylum,2,Reprise Records,13,52.28,11,69
6,Asylum,2,Reprise Records,13,52.28,12,70
6,Asylum,2,Reprise Records,13,52.28,13,71
7,The Open Door,3, Wind-up Records,13,54.15,1,72
7,The Open Door,3, Wind-up Records,13,54.15,2,73
7,The Open Door,3, Wind-up Records,13,54.15,3,74
7,The Open Door,3, Wind-up Records,13,54.15,4,75
7,The Open Door,3, Wind-up Records,13,54.15,5,76
7,The Open Door,3, Wind-up Records,13,54.15,6,77
7,The Open Door,3, Wind-up Records,13,54.15,7,78
7,The Open Door,3, Wind-up Records,13,54.15,8,79
7,The Open Door,3, Wind-up Records,13,54.15,9,80
7,The Open Door,3, Wind-up Records,13,54.15,10,81
7,The Open Door,3, Wind-up Records,13,54.15,11,82
7,The Open Door,3, Wind-up Records,13,54.15,12,83
7,The Open Door,3, Wind-up Records,13,54.15,13,84
8,Fallen,3, Wind-up Records,12,48.45,1,85
8,Fallen,3, Wind-up Records,12,48.45,2,86
8,Fallen,3, Wind-up Records,12,48.45,3,87
8,Fallen,3, Wind-up Records,12,48.45,4,88
8,Fallen,3, Wind-up Records,12,48.45,5,89
8,Fallen,3, Wind-up Records,12,48.45,6,90
8,Fallen,3, Wind-up Records,12,48.45,7,91
8,Fallen,3, Wind-up Records,12,48.45,8,92
8,Fallen,3, Wind-up Records,12,48.45,9,93
8,Fallen,3, Wind-up Records,12,48.45,10,94
8,Fallen,3, Wind-up Records,12,48.45,11,95
8,Fallen,3, Wind-up Records,12,48.45,12,96
9,Delirium,4,Century Media Records,11,44.38,1,97
9,Delirium,4,Century Media Records,11,44.38,2,98
9,Delirium,4,Century Media Records,11,44.38,3,99
9,Delirium,4,Century Media Records,11,44.38,4,100
9,Delirium,4,Century Media Records,11,44.38,5,101
9,Delirium,4,Century Media Records,11,44.38,6,102
9,Delirium,4,Century Media Records,11,44.38,7,103
9,Delirium,4,Century Media Records,11,44.38,8,104
9,Delirium,4,Century Media Records,11,44.38,9,105
9,Delirium,4,Century Media Records,11,44.38,10,106
9,Delirium,4,Century Media Records,11,44.38,11,107
10,Broken Crown Halo,4,Century Media Records,11,47.35,1,108
10,Broken Crown Halo,4,Century Media Records,11,47.35,2,109
10,Broken Crown Halo,4,Century Media Records,11,47.35,3,110
10,Broken Crown Halo,4,Century Media Records,11,47.35,4,111
10,Broken Crown Halo,4,Century Media Records,11,47.35,5,112
10,Broken Crown Halo,4,Century Media Records,11,47.35,6,113
10,Broken Crown Halo,4,Century Media Records,11,47.35,7,114
10,Broken Crown Halo,4,Century Media Records,11,47.35,8,115
10,Broken Crown Halo,4,Century Media Records,11,47.35,9,116
10,Broken Crown Halo,4,Century Media Records,11,47.35,10,117
10,Broken Crown Halo,4,Century Media Records,11,47.35,11,118
11,Transit of Venus,5,Revolution Studios,13,41.4,1,119
11,Transit of Venus,5,Revolution Studios,13,41.4,2,120
11,Transit of Venus,5,Revolution Studios,13,41.4,3,121
11,Transit of Venus,5,Revolution Studios,13,41.4,4,122
11,Transit of Venus,5,Revolution Studios,13,41.4,5,123
11,Transit of Venus,5,Revolution Studios,13,41.4,6,124
11,Transit of Venus,5,Revolution Studios,13,41.4,7,125
11,Transit of Venus,5,Revolution Studios,13,41.4,8,126
11,Transit of Venus,5,Revolution Studios,13,41.4,9,127
11,Transit of Venus,5,Revolution Studios,13,41.4,10,128
11,Transit of Venus,5,Revolution Studios,13,41.4,11,129
11,Transit of Venus,5,Revolution Studios,13,41.4,12,130
11,Transit of Venus,5,Revolution Studios,13,41.4,13,131
12,Life Starts Now,5,Jive Records,12,43.43,1,132
12,Life Starts Now,5,Jive Records,12,43.43,2,133
12,Life Starts Now,5,Jive Records,12,43.43,3,134
12,Life Starts Now,5,Jive Records,12,43.43,4,135
12,Life Starts Now,5,Jive Records,12,43.43,5,136
12,Life Starts Now,5,Jive Records,12,43.43,6,137
12,Life Starts Now,5,Jive Records,12,43.43,7,138
12,Life Starts Now,5,Jive Records,12,43.43,8,139
12,Life Starts Now,5,Jive Records,12,43.43,9,140
12,Life Starts Now,5,Jive Records,12,43.43,10,141
12,Life Starts Now,5,Jive Records,12,43.43,11,142
12,Life Starts Now,5,Jive Records,12,43.43,12,143
13,One-X,5, Sony Music Entertainment,12,43.44,1,144
13,One-X,5, Sony Music Entertainment,12,43.44,2,145
13,One-X,5, Sony Music Entertainment,12,43.44,3,146
13,One-X,5, Sony Music Entertainment,12,43.44,4,147
13,One-X,5, Sony Music Entertainment,12,43.44,5,148
13,One-X,5, Sony Music Entertainment,12,43.44,6,149
13,One-X,5, Sony Music Entertainment,12,43.44,7,150
13,One-X,5, Sony Music Entertainment,12,43.44,8,151
13,One-X,5, Sony Music Entertainment,12,43.44,9,152
13,One-X,5, Sony Music Entertainment,12,43.44,10,153
13,One-X,5, Sony Music Entertainment,12,43.44,11,154
13,One-X,5, Sony Music Entertainment,12,43.44,12,155
